CUSTOMER_ID,SET,DEMO_CAT_02,DEMO_CAT_09,DEMO_CAT_10,DEMO_CAT_03,DEMO_CAT_04,DEMO_CAT_05,DEMO_CAT_06,DEMO_NUM_01,DEMO_NUM_02,DEMO_CAT_07,DEMO_NUM_03,DEMO_NUM_04,DEMO_CAT_08,DEMO_CAT_11,DEMO_NUM_05,DEMO_CAT_12,DEMO_NUM_06,DEMO_NUM_07,DEMO_NUM_08,DEMO_NUM_09,DEMO_NUM_10,DEMO_NUM_11,DEMO_NUM_12,DEMO_CAT_13,DEMO_NUM_13,DEMO_NUM_14,DEMO_CAT_14,DEMO_CAT_15,DEMO_CAT_01,HAS_A_1,HAS_B_1,HAS_C_1,HAS_D_1,HAS_E_1,HAS_F_1,HAS_G_1,HAS_H_1,HAS_I_1,HAS_L_1,HAS_A_2,HAS_B_2,HAS_C_2,HAS_D_2,HAS_E_2,HAS_F_2,HAS_G_2,HAS_H_2,HAS_I_2,HAS_L_2,BUYED_A,BUYED_B,BUYED_C,BUYED_D,BUYED_E,BUYED_F,BUYED_G,BUYED_H,BUYED_I,BUYED_L,BUYED_NOT_A
188942,train,A,d_1,A,a_9,b_1,B,B,53.849352496,12.945355191,c_5,8,11,A,e_1,18.8039,,0.0365448505,0.2126245847,482.43189369,453.42857143,485.125,0.0679827428,500,g_3,484,941,h_7,i_8,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134058,train,A,d_0,A,a_16,b_2,A,A,52.232240437,2.5342840033,c_6,20,38,A,e_0,50.58243,,0.1690140845,0.222953904,511.61971831,488.46923077,520.81012658,0.0206033848,1400,g_0,492,950,h_0,i_7,A,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124022,test,A,d_0,A,a_18,b_0,B,A,46.438393592,1.4246949622,c_14,82,27,A,e_0,39.31293,,0.0839160839,0.2010582011,507.09090909,482.08571429,505.36842105,0.032160804,1100,g_0,500,951,h_1,i_4,B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685285,train,A,d_26,A,a_20,b_1,B,A,56.532786885,31.287708661,c_6,51,39,A,e_6,44.85748,,0.0977777778,0.1103074141,514.49333333,486.26388889,533.27868852,0.0192492782,1050,g_0,498,958,h_4,i_3,B,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226318,train,A,d_23,A,a_35,b_4,A,A,27.627434688,10.616475784,c_1,10,19,A,e_9,51.06136,,0,0.0782608696,482.25,460,502.22222222,0.0454545455,2750,g_1,506,942,h_9,i_26,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365209,train,A,d_5,A,a_35,b_0,B,A,56.00273224,17.03291414,c_1,4,28,A,e_0,15.67643,,0.2148760331,0.164556962,503.56198347,479,499.23076923,0.0277777778,1450,g_1,499,940,h_5,i_27,B,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648795,train,A,d_3,A,a_21,b_1,B,A,59.939763455,10.079489483,c_8,3,3,A,e_2,30.774,,0.020661157,0.0373493976,496.38016529,460.37142857,479.41935484,0.0859080633,710,g_0,479,952,h_7,i_8,B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193627,train,A,d_2,A,a_3,b_0,A,A,59.786338798,17.161681264,c_8,17,12,A,e_1,32.76232,,0.0060240964,0.1008064516,504.28915663,486.93181818,509.37,0.0416345412,1150,g_2,481,946,h_2,i_20,B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569692,train,A,d_3,A,a_20,b_3,B,A,75.972640168,2.1151059211,c_6,51,39,A,e_2,45.93845,,0.015625,0.1054852321,521.921875,513.46666667,526.24,0,1000,g_1,502,955,h_4,i_3,B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589449,train,A,d_3,A,a_48,b_5,A,A,77.676749757,14.695927839,c_11,8,43,A,e_2,44.37484,,0.2680412371,0.1314741036,513.03092784,482.23529412,517.33333333,0.0854092527,800,g_0,496,951,h_0,i_0,A,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832867,test,A,d_17,A,a_17,b_1,A,A,40.073770492,10.575379894,c_9,5,24,A,e_6,31.90394,,0.0837988827,0.2527716186,527.0726257,474.18518519,535.49122807,0.0255500355,3600,g_0,500,951,h_9,i_26,A,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
