,HAS_A_1,HAS_B_1,HAS_C_1,HAS_D_1,HAS_E_1,HAS_F_1,HAS_G_1,HAS_H_1,HAS_I_1,HAS_L_1
HAS_A_1,1.0,0.22,0.01,0.11,0.01,0.01,0.02,0.0,0.02,0.02
HAS_B_1,0.22,1.0,0.03,0.12,0.01,0.02,0.03,0.01,0.03,0.03
HAS_C_1,0.01,0.03,1.0,0.02,0.01,0.02,0.06,0.03,0.02,0.03
HAS_D_1,0.11,0.12,0.02,1.0,0.03,0.02,0.02,0.01,0.03,0.04
HAS_E_1,0.01,0.01,0.01,0.03,1.0,0.06,0.02,0.07,0.08,0.01
HAS_F_1,0.01,0.02,0.02,0.02,0.06,1.0,0.05,0.03,0.03,0.02
HAS_G_1,0.02,0.03,0.06,0.02,0.02,0.05,1.0,0.03,0.04,0.03
HAS_H_1,0.0,0.01,0.03,0.01,0.07,0.03,0.03,1.0,0.01,0.02
HAS_I_1,0.02,0.03,0.02,0.03,0.08,0.03,0.04,0.01,1.0,0.03
HAS_L_1,0.02,0.03,0.03,0.04,0.01,0.02,0.03,0.02,0.03,1.0
